Restaurant Name,Restaurant Type,Reviewer's Name,Rating,Comment,rating_class_main,rating_for_comment
Haidilao Hot Pot,$$ - $$$,Wonder A,5,"We were extremely impressed with Haidilao Bedok Mall where we visited for a birthday celebration. The staff were very friendly, courteous, efficient and helpful. The selection of food, sauces and soups for the hotpot were excellent. The birthday girl was presented with a bowl of ",1,1
Shinzo Japanese Cuisine,"Japanese, Sushi",Panda6551,3,Food was average.  There are better value places.  Not good to go with clients unless you are a regular as they get all the attention.  Noisy and cramp.  Wait staff is attentive.,0,-1
J65,"Seafood, International",Greg L,3,We had the sea food mania buffet.  Was ok but range was limited.  Crab was not fresh - defrosted and lacked flavour.  The service was good but not the best we have experienced.  Boston lobster ok but not remarkable.  Western Rock Lobster still the best,0,0
mezza9,Singaporean,cpr2exs,3,"Dinner for 4. We had the mixed grill, asparagus, crab cakes, Caesar salad. The bread came with an awful tasting dip, we asked for butter instead. The crab cakes were ok, nice and meaty. Caesar salad was tiny and hardly any dressing. From there it ",0,0
Ma Maison,"Asian, Japanese",benlet2,1,"Had a birthday voucher of 30% hence we returned to have a meal at the Ma Maison Takashimaya branch. To our dismay, the cashier staff indicated to us on the non-stated terms and condition that it is not 30% off the bill on the birthday ",-1,-1
Riders Cafe,"Cafe, European",Q1299CTsusang,3,"Nice environment, lots of green surroundings. Order food through mobile apps. Had a steak, the mash potatoes is nice but the steak is average. My husband had pulled pork and rosti, nice! My gal have the crab sandwich which in my opinion is average only.",0,1
Mondo Mio,"Italian, Mediterranean",lifesaholidayy,2,"We ordered both the pasta and pizza and were deeply disappointed by both. 

After trying some of the pizza, we decided to feedback to the staff on the quality of the food and mentioned that it did not meet our expectations. 

We were offered an exchange for a different pizza and the food was taken away from our table. However, just a few minutes later the staff returned with the same plate of food and berated us about having eaten some of the pizza before giving them the feedback. 

I do not understand how we were expected to feedback without actually trying the food and we had no choice but to accept the same plate of food back. This certainly put a dampener on our evening, especially given that we were there to celebrate a birthday. 

Will not be returning.",-1,-1
Sear,"American, Steakhouse",Fabrice P,3,"Food were very little portion. I took the salmon but there not enough sauce on it, which made sea taste little too strong. In dessert, i took cheesecake and ice cream. Ice cream was excellent bit cheeesecake was tasteless.
When i saw the burger from ",0,-1
Chock Full of Beans,Cafe,koloblicin_lee,5,Stop over at this cafe if you are in Changi area. We went there on the way to Pulau ubin. The food is very good and the environment is relaxing. Loved it,1,1
PS.Cafe Petit,"Pizza, Cafe",ChristieL313,3,"Smaller than the usual PS Cafe branches. Most of the tables were tiny, and made to seat a small group at most.

The interior design was dark and inviting, almost intimate. But because of the size of the place and proximity of other tables, it ",0,0
Le Binchotan,Japanese Fusion,vina y,3,i thought it is an french-japanese restaurant. we chose the 7-course as we were told we are likely unable to finish the 9-course omakase. bur for us. i dont think it worth the value and some dishes really salty..,0,-1
One-Ninety Restaurant,"French, International",vixby,2,"On a recent trip to Singapore, my partner and I booked a table at this restaurant to experience their semi buffet dinner. We arrived on time, greeted by someone at the front desk, shown to our table, where we were greeted by our waitress for ",-1,-1
The Soup Spoon,$$ - $$$,Jana C,3,Came here as it was 10 AM and other places were still closed. I had the grilled Soba noodles with Teriyaki chicken salad and my husband had a a Tex Mex beef wrap. We both enjoyed the food but it was not memorable comparing to,0,0
Red House Seafood Restaurant,"Chinese, Seafood",Robert B,1,"This is a very expensive place to experience Singapore dining.  They charge you for napkins, the peanuts on the table and green tea that is given to you upon sitting down.  The food quality is average with the price being very expensive.  Singapore is a ",-1,-1
Komala Vilas Restaurant,"Indian, Asian",PierreHennes,3,"The food was good. The service was great. 

Masala dosai was stuffed full of mashed potatoes and onions, while garlic naan went nicely with aloo gobi masala. 

Mango lassi was rich & scrumptiously filling. 

No-frills restaurant perfect for a simple vegetarian meal.",0,1
Rizu,$$$$,javaricho,3,"A well appointed and tastefully understated restaurant promised much. Considerate and polite staff also added to the good initial impression. 

We selected the 8 course Omakase menu which sadly lacked punch. The highlights were the excellent sashimi and sushi courses. Complemented by a very good ",0,1
Penang Place Restaurant,"Asian, Singaporean",hamp2016,3,My group of 14 people had buffet dinner on the 13th Aug 2016. The restaurant was packed full with about 150 people. The varieties of food cooked in the style of Penang amazed me. The TOP 3 dishes I like the most was Char Koay,0,1
Shangri-la's Rasa Sentosa Resort Restaurants,$$ - $$$,WhizB,3,"The Rasa Sentosa has an amazing location and is a great place to stay in Singapore.  However, a down-side, for us, were the mediocre and expensive dining options.  Essentially a traditional but uninspired restaurant, an ""all you can eat"" family-orientated buffet and a very expensive ",0,-1
Arteastiq Bistro & Bar,Cafe,TheKuoKnows,3,"@TheKuoKnows

A good addition to the Singapore dining scene. The Granola Mixed Green Salad was generous. Loved the dressing.

If the salad was generous, the portion of Beef Fettuccine was more than generous. The pasta was cooked well. Perfectly al dente.

The view from the ",0,1
I am...,"Dutch, European",deehayatullah,5,"Both our burgers were tender and juicy. And the buffalo wings are awesome too. 
The staffs were friendly. 
We enjoyed our food and definitely worth the price too. 

Two thumbs up! 👍👍",1,1
Rhubarb,"French, European",JonathanF3220,3,"First time to Rhubarb for a birthday dinner with a group of friends. Each of us had a set dinner at S$140++ per pax. Warm service and cozy ambience for chatting. We been to many Michelin Star restaurants and frankly speaking, we all felt that ",0,1
Crystal Jade Kitchen,$$ - $$$,Orator11,3,"We hadn't eaten here for more than a year so decided to visit it again.  Service was excellent, as remembered.  Food was definitely more expensive than the last visit.  We ordered a meat platter combo of soya chicken and roast pork for $15.80 ( before ",0,0
Bel Mondo,$$ - $$$,George H,2,"Bel Mondo offers a very good value lunchtime set menu for $17++ for three courses, although with drinks and a latte per person it's be $30 all in. The food was fine - green salad or bowl of soup, choice of large pizza or pasta ",-1,-1
Miam Miam,"Singaporean, Japanese",lows925,3,"I was here on 14/12 for dinner. The pasta is nice just that the dish is abit cold.

I ordered a dessert while the waitress is taking order. So I informed the waitress this shall be serve After meal. After I finished my pasta,my plate ",0,0
The Banana Leaf Apolo,"Indian, Asian",689gabrieller,2,"I chose 2 dishes that were supposedly chef's specialties. The hot and sour soup made with dried garlic and other packaged vegetables.  More than ordinary.  The cauliflower dish looked nothing like the photos.  It came highly recommended by the owner.  It arrived at the table barely warm.  I gave it back.  We watched it being put in the microwave.  It came back  again barely warm. One of the worst Indian meals I have ever had. It lacked flavour despite being tagged on the menu as chef's special dish and spicy. Still,  mum loved her fish head curry.  We would have stayed for gulab jamun for dessert but saw kitchen staff coughing into their hands and then serving food. Disgusting. My brother's chicken dish was not good. Rice was cold. Staff just laughed when I politely told them the dish was cold when served twice.  I rarely write poor reviews,  but this one is definitely deserved.",-1,-1
Sushi Tei,"Japanese, Sushi",WilliamC5851,3,"Always crowded even after 1:30pm we had to wait for about 15mins before we had a table for 4! Nicely decorated sushi train restaurant. Many of the plates running along the belt were cooked. Sashimi, salads, sushi and other hot food had to be ordered ",0,0
Xi Yan Shaw,$$ - $$$,ChekHawL,4,"The food was very delicious, and the flavours were mostly on point. We loved almost all the dishes we ordered, and the desserts were good as well. We will definitely head back there for another meal in future.",1,1
Shun X Sakemaru,"Japanese, Fusion",albertcM3140JC,3,"The restaurant is small and cozy, it was not full. the oysters were very good. we order 2 appetizer and 2 main courses and some snacks and an apple cider, the bill was around $100.",0,1
Majestic Restaurant,"Chinese, Asian",gregorsamsa83,4,"Had a set lunch plus the peking duck and some dim sums with 6 other colleagues. Taste was great, presentation was great too.

They served the peking duck with rose flavoured flat bread, which is unique and slightly sweet.

They also served fried rice with ",1,1
Si Chuan Dou Hua Restaurant,"Deli, Fusion",kmquek,2,"Food here is good and something that o would come back for, but the service is bad. We had a waiter named Kenny who would be serving you whilst looking elsewhere!",-1,-1
Min Jiang Goodwood Park Hotel,"Chinese, Asian",56772013,3,Went with our whole family for dinner to celebrate my daughters birthday. The service was very slow. The Wine List did not come. We asked for the wine list. We ordered the wine and they took a long time ( about 40 mins) to bring,0,-1
The Penny Black Victorian London Pub,"Bar, European",Kelly0831,5,"English hubby had Christmas dinner here 5 years ago & he still remembers it ! As a local Chinese, I’ve brought my family this year and we are amazed by the great Christmas spread. Generous portions & very tasteful. Great ambience of English Christmas music & deco too. Highly recommend & thanks to manager Roni too for also being flexible to our requests. Thanks guys!",1,1
Wan Hao Chinese Restaurant,"Chinese, Asian",DexperienceReview,1,"Dexperience Undercover Service Quality Surveyor Ratings:
Value 3/5
Quality 3/5
Ambience 2/5
Service 1/5
Experience 1/5

Verdict: Used to be one of the best Cantonese Restaurant in Singapore with its superbly delicious roasted crispy chicken! But service standards now is ridiculously low, it's really tough ",-1,-1
Gandhi,$,Teck Hooi L,3,"The food is ok, not fantastic. reasonably priced. they have many dishes to choose from. chicken cooks in dry or thick curry and much other fried staff like fried squid, fish and chicken",0,0
Hummus & Grill,"Arabic, Lebanese",divaisabella,5,"Delicious food, great service , generous portions, friendly staff and helpful, mix grill is to die for , lamb chop is the best so tender and juicy u should try lamb chop , they offered us baklava on the house 
Sure we back soon",1,1
Restaurant Ibid,"Asian, Singaporean",PEtraveller25,3,"Owner-chef's service was good and passion for his craft was commendable. Modern singapore/chinese/taiwanese dishes sounded better than they tasted. Execution was lackluster. This restaurant is a solid 3-3.5/5 but the 4.9 review on google was very misleading. Thought the surprisingly high review count was the authenticator, but looked otherwise this time. 

Of note, the cookie given at the end of the meal was spectacular, but half is more than enough and a full cookie would send your blood sugar through the roof!",0,1
The Banana Leaf Apolo,"Indian, Asian",Manoj P,1,"I have been to this restaurant umpteen times for the past 20years. As a local Indian, this is my go to banana leaf restaurant. However, my trip to the restaurant was extremely disappointing when I dropped by for a late lunch. I usually frequent the ",-1,-1
My Awesome Cafe,"French, Bar",rina_0324,2,"I had lunch with my friend. I ordered a sandwich. It was awesome. But one of the staff's service was quite rude. After we finished our lunch, we ordered coffee as well from other staff. But less than five minutes after the coffee was served, ",-1,-1
RENNthai,"Asian, Thai",Dennis p,1,"After 6 weeks of travel we were presented with the worst meal of the entire time
Asked for Spivey got bland. Service atrocious, price was exhorbant. Entire and main meal received before drinks arrived 
Would not recommend to any one",-1,-1
Pince and Pints (Duxton),"Bar, Seafood",shuyim1,3,"We ate at the outlet on East Coast Road. We almost decide to walk out of the resturant after looking at the menu. It’s is ridicously priced to the sky for such a place. However, we decided to still sit down and try a sandwich .",0,0
I am...,"Dutch, European",jdvale76,3,"Does that boss burguer on the menu look good to you? Ok, let me tell you one thing: it’s just not worth it.

The burguer sells for 18 SGD. Now having that the thing they put on top of the patty isn’t real bacon; that ",0,-1
Summer Hill,European,adriancktan,3,"A charming French bistro tucked away in a quiet neighbourhood in Clementi, Summer Hill appears a promising date light restaurant with its quaint decor & rustic dishes that exude passion. Unfortunately, my experience buying this fairly pricey celebratory dinner for my partner was marred by ",0,0
Verre Modern Bistro & Wine Bar,"French, European",U2726WNstevem,3,It is our first visit to Singapore.  We chose the Bistro for a meal as some dishes sounded similar to UK food we were familiar with.  The confit of duck ordered was much as expected.  The Dover Sole Citrus could not have been further from,0,-1
The Public Izakaya by Hachi,"Japanese, Bar",Vasi_1511,4,"Came here with my colleagues for dinner — one of them Japanese - who ordered a large variety of dishes for us, all of which were delicious. Really enjoyed the dinner here in a relaxed atmosphere. Service was a bit detached but very efficient. Cannot ",1,1
Komyuniti Bar & Restaurant,"Bar, International",soultraveler2017,2,I ordered their cheeseburger. It looked nice to begin with fries were great - sauce on the burger was great . However I noticed a lot of water coming out of the burger and realised the patty was not cooked well ( 2nd picture)  .,-1,-1
Fumee by Habanos,"Bar, Fusion",Robert S,5,"Fumee has incredible service and a great menu. Incredible value for money too with some unbelievable 2 for 1 deals inclusing steak, seafood and other options that make it amazing value for money by Singapore standards.",1,1
Muddy Murphy's Irish Pub,"Irish, Bar",sbe_000,3,"It is a sports bar, respectively pub in Singapore - that says it all. Drinks are, like in most places, fairly pricey. Staff is  friendly and has a good sense of humor",0,0
Clove,International,SusanneIndonesia,2,"This is a huge hotel with many rooms and in fact I have done an earlier review from when I stayed at the hotel and thought it is a fantastic hotel, so I thought on my visit to Singapore I would try out their buffet ",-1,-1
Publico Ristorante,"Italian, Pizza",vikadarmin,5,"Absolutely loved the food, been here a couple of times and ordered different things on the menu - and all of them taste so good. Would definitely recommend this place to friends and family. We were served by Sheila and she recommended us her favourite ",1,1
Hamburg Steak Keisuke,$$ - $$$,Kyoko T,3,"Most of costumers bing satisfied with complimentary salad bar, but the main course (Hamburg steak) is not so fantastic.
Small portion & less meaty taste.
I prefer MASA @ Robertson Quay.

ハンバーグがそこまで美味しくありません。",0,1
British Indian Curry Hut,"Indian, Asian",samndan2000,3,"Came here with the family for a Friday night meal. 

The staff are lovely and the place is comfortable although the toilets are pretty bad. 

Overall the food was ok. The curries were pretty good, the garlic naan was very crisp and tasty and the ",0,1
Hokkaido Sushi Restaurant,"Japanese, Sushi",Emer K,3,"Three of us were staying in the hotel and tried this restaurant after a long day of work so we didn't have to search the town for food.
The menu is extensive and features pictures of ""sample versions"" of food that you can order.  This ",0,0
Baba Chews Bar and Eatery,"Asian, Singaporean",GrantL585,5,"Been a few times here now and each time the ambience is nice, food great with a mix of local fusion food and international, and the service is really superb. There is something for everyone here and well worth a try if you have not ",1,1
Rhubarb,"French, European",ivorh979,3,"A disappointingly average experience for a very high price.

Standards seem to be slipping from the decor and the service. Food is good. 3 small slices of cheese for a cheese selection was quite disappointing though and dessert could have been better.

Table cloths not ",0,-1
Jacob's Cafe,"Cafe, European",lleonard13,1,"Service was slow. Staff recommended their pork knuckle and was told that it will take between 20 to 25 mins for it to be served. 
We went ahead with their suggestion and it took more than 45 mins for them to serve. 
Staff took no initiative to follow-up and inform us about the delay.
When we feedback to them about the delay, staff asked if we wanted to order soup while waiting.. Isit on the house or at our own expense? Staff was not clear about this and at the end of service, we were given Jacob's namecard and told to order in advance in future as the restaurant was overwhelmed with orders.

Well Jacob's Cafe, when we ordered, your restaurant was not full house or crowded. Please acknowledge your mistakes and take some responsibility for the mistakes that you made.
We followed your recommendation and agreed to wait for 20 to 25 mins since you made it clear to us. You did not take any initiative to inform us of the delay.
To top it off, you are being completely illogical by asking guest to order a dish in advance that we have never tried, and it was based on your recommendation.
Your service recovery is ridiculous and no, you did not bother to make things right. Being defensive is a no-no when you clearly neglected our orders.
Well, they say, getting new customers is hard, but keeping them is harder. You just lost one today.
Finally, your recommendation is truly mediocre.
Two words - Overpriced. Underdelivered. 👎🏼",-1,-1
Wahiro,"Japanese, Sushi",LuxuryG3,5,"My home is about 3 mins walking to this restaurant. It's lucky to have such nice Japanese food near me! I normally go there  for dinners, this little cozy place could be fully booked sometimes. If big group must reserve table. I think the quality ",1,1
Esquina,"European, Spanish",JosephineP271,5,"We came here on a Saturday evening, so an advanced booking had to be made given how packed this place typically is on weekends. We recommend to get the bar seats as you can see how the food is being prepared, which adds on to ",1,1
Wakanui Grill Dining Singapore,"Steakhouse, New Zealand",Peter M,4,"My wife and i decided wanted to go to this restaurant and experience the lovely meats from New Zealand again. We were a little home sick. The restauant  is located in the new Marina One area of Singapore which is quite busy doing the day, ",1,1
The Beast,"Bar, Pub",Vitalauto2003,3,"The food was excellent. Our waffles with fried chicken was perfect! The bourbon maple syrup was delicious! However, the place was warm. The aircon needs servicing. Also they had an upper floor with proper tables and chairs, but they didn't allow guests to use it .",0,0
Tsukada Nojo,"Japanese, Asian",Annaliza O,5,Rich creamy soup with fresh ingredients.  Their side dishes you could order separately are delicious too.  Staffs are very friendly and will explain and serve you if it is your 1st time there.  You might have to queue for long if it is peak hours,1,1
Brewerkz (Riverside Point),"American, Bar",CanadianChris84,3,"I've lived in Singapore for a few years and found I liked Brewerkz for good beer, fair prices and a good American menu. Over the last few years however, they seem to be constantly reinventing themselves, each time increasing prices and altering various things. The ",0,0
Baja Fresh,"American, Bar",jay v,1,Cashier always acts as if she being bothered.  Showed up at 1105 today and she told me closed because she had just showed up herself and didn’t want to serve.,-1,-1
Wah Lok,$$ - $$$,panosh416,3,"I suppose it’s the same as to expect to go to fine dining in New York at New Year’s Eve. It doesn’t exist 
So why was I expecting same for a Chinese restaurant during Chinese New Years festivities in Singapore?",0,-1
Hard Rock Cafe,"American, Bar",ceci888,1,Went to cuscaden outlet on 30/01/2021. Promised to give complementary to birthday girl but failed. Asked staff Chai to check but insisted to say “NO”. Failed to check!! Failed and disappointed the birthday girl.,-1,-1
Marche Movenpick 313somerset,"Swiss, Mediterranean",janice c,1,I don't recommend people to dine at Marche somersat and as for the other oulet I cannot comment much.  It was my first experience with marche somersat.  I was pretty lost and confused and I accidentally took one of the plate and realised is charageable,-1,-1
Jim Thompson,Thai,SHIRRIS,5,"had a very pleasant experience at Jim Thompson being my first time together with my family. had a good selection of vegetarian choices with specific requirements without shallots, onions and garlic - not on menu and restaurant is able to cater.",1,1
Dim Sum Haus,"Chinese, Asian",RSCheok,5,"The dimsum here is pretty good.  And the prices are wallet friendly, certainly cheaper than most Chinese restaurants but the quality is there.  When we arrived, the place was super noisy because of one very loud table (local Singaporeans) but when they left after 5 ",1,1
Marcello,"Cafe, Deli",301anandv,3,What was Publico Bistro is now Marcello. The Publico Bar still exists i think. Anyhoo was the usual Sunday lunch/brunch outing. Kiddos had the Eggs Ben and French Toast. I had the Middle Eastern Eggs and bread and the Tuna poke bowl. Brownie and Chocolate-peanut,0,0
Kucina Italian Restaurant,"Italian, Pizza",IndefiniteGuest,3,"It was out 4th visit to Kucina, we were looking forward to the great Italian food we were accustomed to from Kucina. 

My partner has her usual pizza which is still amazingly good! Instead of my usual pasta order I was feeling adventurous and decided ",0,0
Penang Culture @ NEX,"Chinese, Asian",chloeopy,5,"Went to Penang Culture for lunch with my family and was warmly greeted by Yu Jun. She was very prompt with her service and proactive, clearing the plates once she noticed we were done, and also quick to respond whenever we called for service. Coupled with the tasty food (I really enjoyed the rojak) and free flow ice cream, I see myself going back again!",1,1
Piedra Negra,"Mexican, Latin",charissemsg,3,This restaurant is at the corner of Haji Lane and convenient for quick eats and happy hour. We came here to beat the heat and for the buy 1 get 1 beer. Also got the ceviche and pico de gallo which was different from amer,0,0
Mahota Commune,$$ - $$$,babekim,3,"Complimentary bread was served with vinegar and olive oil at the start of the meal. Organic bread tasted SO dry and hard, we couldn't even finish it.

Ordered 2 mahota hotpot - 1 tomato based soup and 1 pork based soup. Ingredients were the same, ",0,-1
Akashi Japanese Restaurant,$$ - $$$,filleenmonde,3,"Akashi used to be one of my favourite Japanese restaurants in Singapore, so it saddens me to share that the level of service has deteriorated to the point where waitresses can be heard telling one another loudly in Mandarin not to serve hot towels to a new group of foreigners who had just been seated at the counter.

For me, I was also surprised that I had to ask for hot towels and the waitress was reluctant and dangled it across the restaurant for me out of a pair of tongs direct from the heater without even a tray or holder. When I asked for the bamboo tray, she was again reluctant and said that they don't provide hot towels anymore to customers at tables, and serve them only to customers at the counter. Any customer who wants a towel and holder would need to ask for it.

That then turned out to be untrue after I overheard the waitresses conversation about the customers at the counter. I decided to question a few to sort their stories and some then told me that the boss/management has decided that no hot towels should be served,

I may be going on about hot towels here but it is not about it. It is a very small yet thoughtful part of the Japanese food service that Akashi has decided to remove from their service for customers although we are still paying a premium for the food and service. It is so at odds with my experience with and expectations of Akashi in the past that this penny-wise policy makes dining there unpleasant. 

Oh, and to find out that a friend's friend received great, personal service from the owner recently (hot towels at beginning and end of food service) just makes the discrimination and experience worse.",0,0
Chicken Up,"Asian, Korean",jonahesque,2,"Chicken Up used to be some sort of an institution for Korean fried chicken, but their standards had dipped drastically over time. Their spicy wings aren't spicy, everything is generally over-sauced, and the rice/noodle dishes are simply lackluster. With the number of (excellent) Korean restaurants ",-1,-1
Thevar,$$$$,NamrataParesh,4,"Wonderful food and service. We are vegetarians so we had everything vegetarian on the menu. They didn’t have one of the items but they managed to mak e something else to make up for it. The bartender was a gem, he was very polite and ",1,1
Spago Dining Room by Wolfgang Puck,"American, European",NorthMonkeye,4,Visited as it’s one of the bars/restaurants at the top of MBS and we wanted to go somewhere special for our anniversary lunch. Paid $48 pp for a 3 course menu. Delicious food for that price considering the location which you’d expect would be the,1,1
RedDot BrewHouse Dempsey,"European, Bar",t0mbarrett,5,We had a class dinner for 11 including some geographically diverse attendees.  Everyone found food that they enjoyed and it didn't break the bank.  Our waitperson was attentive and took good care of us.  All tables are open air which was great.,1,1
Carousel Buffet,"Seafood, Sushi",asl17_00,4,"Visited the place the first time after recommendation from tripadvisor. The staff were helpful. The staff welcomed us to the buffet, helped cleared our used plates efficiently. The lobster was good, wished they had prepared more choices of dishes for the lobster.",1,1
Ninethirty (by Awfully Chocolate),"Singaporean, Cafe",Esther L,3,"Just go for their cakes and desserts since these are what they are known for.  

Their mains that day were average. The speghetti was not as soft and springy.  While the pork did achieve the char-grilled taste, the texture was a little tough. Could be ",0,0
PocoLoco,"Italian, European",HannahKarenH,5,"Quality seems to have dropped a little since I first started coming here early this year, but it's still great value for money nonetheless. Definitely a place to go for quality and very affordable pasta.",1,1
Nassim Hill Bakery,"Cafe, Bar",MissBiscuit2014,2,"As with a lot of reviews on here point out and Nassim Hill have replied, they clearly think they’re that good they don’t need to sort out their service.
Firstly, the staff in shirts who I assume are supposed to be more senior just make ",-1,-1
Little Diner,"American, Cafe",sangiepie,2,"I'm so disappointed! I read great reviews and came here to try their food.

American buttermilk chicken- 6/10
It generally tastes ok but it's so salty and I had to drink so much water after eating it. The horrible fries (see picture) were soggy and ",-1,-1
OLA Cocina Del Mar,"Seafood, European",youke_worldwide,5,This place was almost empty when we came for dinner but the food is really good. Waiter was chatty and recommended exactly what we should have. Many people said the portions were small but I ate until I was very full. The best and most,1,1
Kilo Kitchen,"Bar, International",Jo B,2,"We headed to Kilo Kallang following a recommendation from a friend of a friend.  The raw tuna  and broccolini were great but the balance of the food was really disappointing.  The soft shell crab had more batter than crab and was super oily. 

Service was ",-1,-1
Sakunthala's Restaurant - Dunlop Outlet,"Indian, Asian",SJKVT,2,"We ate some plain briyani with some mutton varuval. The meat dish was so different in texture. I simply wonder whether it was a recycled a few times and reheated. It tasted very imittaion. We saw many adverts promoting this restaurant. So wanted to give a try. Hmm .though ambience was good, meat dises needs alot of improvement.",-1,-1
Mitzo,"Chinese, Asian",sukilyn2019,3,"Food was good but staff was not attentive. My friend was allergic to shellfish and she specifically told the staff about her allergy. When her share of food was served, she was told that they don’t contain shellfish. However, it was actually a serve containing ",0,-1
Azur Restaurant,"Singaporean, International",Bluesphynx,3,"Friday buffet dinner at this restaurant which I've Ben to twice before. The range of food has increased but the flavor remains disappointing for the high price. The most impressive item was the luscious chocolate cake, the desserts being most attractive with a wide range ",0,-1
Ikea Cafeteria,"Cafe, European",need2travel4ever,3,"Just about everyone would make a beeline here before hitting the store. The affordable grub is the main draw, most head there to get their delicious fried chicken wings & aromatic coffee fix.

The standard staples like meatballs & pasta, poached salmon & Malay rice ",0,0
Binomio,"Mediterranean, European",KevC920,3,Came here for dinner with my wife last Saturday. The restaurant setting is very nice and we were welcomed to our table by the waiter who then served us throughout our visit. He was very friendly and attentive and really helped make our evening special,0,1
Burnt Ends,Barbecue,coreydif,1,"We were gifted a gift voucher to use at this place. We experienced the ridiculous booking / reservations process where we found it was almost impossible to reserve a table over a 3-4 month time frame. 

We then felt it (as offered on their website) ",-1,-1
Summer Hill,European,andreapaul232016,5,"We booked a table through chope but my reservation was not on their list, but luckily they were still able to accommodate a family of three.

We were quickly seater and ordered the curried creamy muscles, grass fed ibeye  and the roast chicken . We ",1,
Sinpopo . Brand,"Cafe, Asian",Kathleen_Leong,3,"First time here to try their food. Ordered Nasi Lemak set for 2, Sliced Beef noodle, Kiam Chye Arg and pork chop. Food was normal but the Kim Chye Arg is disappointing as the duck is deep fry and tasteless and soup were too sour .",0,-1
Ash & Elm,European,Buzzing-shinkai,4,"Exclusive and private. Great place for gatherings. More suitable for adults and older children. Food is amazing. Very knowledgeable wine sommelier Louie to recommend good wines at affordable prices. Manager Athiban is attentive and recommended some good food choices. 
Will return for an enjoyable dining ",1,1
Gudetama Cafe,Cafe,Pamelatansc,3,"Went there to celebrate son’s birthday and didn’t expect too much.  Ordered 3 rib-I, one came out steak only slightly warm n carrots were cold while the other 2 were ok. Pizza was nice. Service generally ok.",0,0
Saveur (Purvis),"Fusion, French",Roving47920057757,3,Free Water was Missing! I believe that FREE Warm/Cold WATER should be a MUST HAVE for every single RESTAURANT Their Signature 'Saveur' Pasta is the best & most delicious item from their Menu!I also enjoy their Pistachio Panna Cotta dessert,0,0
Takeshi Noodle Bar,"Japanese, Asian",181hazelh,5,"Nice ambience, interesting ramen fusion, seafood mala ramen is a must try. Can be pricey for some selection, but can be off set from Happy hour 1 for 1 for relaxing afternoon drink.",1,1
Jade Palace Seafood,"Chinese, Asian",Haebee,2,"We had always enjoyed our meals here, but surprisingly, the food did not meet our expectations on this visit. 
The Alaskan Crab was not as fresh as expected. The Egg white with crabmeat was too heavy on the truffle essence. The Claypot Soon Hock fish ",-1,-1
Kintamani Indonesian Restaurant,"Asian, Indonesian",MartinC6351,3,"The food was delicious, the selection was not wide though. Pleasant environment and staff. I do have to say that the price was a little on the high side. Desert was a surprise with durian paste.",0,0
Aromas of India,"Indian, Asian",annesg87,1,"Went there because of the good reviews. The experience was just very disappointing. 

No nice atmosphere, if it would not have smelled of toilet, the interior would have been also not better or more cozy.

The food was nothing special, I had much better butter ",-1,-1
Miam Miam,"Singaporean, Japanese",Erico2709,4,"Initially was a bit skeptical of a French-Japanese restaurant. In any case, I ordered their King Crab aglio olio and was pleasantly surprised how tasty it was. The pasta was al dente and the crab meat really fresh.",1,1
Newton Food Centre,"Chinese, Indian",SShaks,1,"Stay away from this stall. I ordered 3 local coffees and got 3 coffees diluted with water!!! Unfortunately, paid them without trying the coffee and it was the worst ever. We took the coffee back to them only to find out they made 3 in 1 instant coffee packets instead of what we ordered. As we questions them, the Indian lady pretended not to understand and just said ‘sorry’ . Don’t EVER buy anything from them as I feel , they just do not deliver what they advertise and are out to just take your money.",-1,-1
The Grand Lobby,"European, British",anniemarr,3,"Very average afternoon tea, service not attentive enough and food only average. The history of the place is the only reason to visit, felt the sandwiches were very mediocre and the scones were just awful.",0,-1
Prego,"Italian, Pizza",JoanneLock,5,The food was very nice apart form the pork belly 😅 Ravioli was super good! 😋 But most importantly the service by Aaron was fantastic! Very patient and attentive service provided by him. 🥰 It was a birthday dinner for me and although Prego doesnt,1,1
Patara Fine Thai Cuisine,"Asian, Thai",Kit358,3,"My party of 7 had dinner tonight & the service level & responsiveness was satisfactory. Food & dessert selection was adequate, in particular the fish with lime sauce & morning glory vegetable were well prepared. If there is an area for improvement, I would say ",0,1
Kith Cafe Robertson Quay,"Cafe, International",Mary C,5,We are staying at the Miramar hotel which is just across the river. On our last morning we thought we would take a trip across to the riverside where we spotted a supermarket. Supermarket closed . kith OPEN! And Arnt we glad we took that walk!,1,1
Hard Rock Cafe,"American, Bar",Phoedz,3,"Dining experience was just like other typical eatery, very mellow. No hard rock charm, music was subtle, overshadowed by diners chatting away  Miss the old Hard Rock experience. Especially this pandemic where we are unable to travel to other Hard Rock cafes around the world, it will be a great change to escape from this mundane. Sadly we can't  Hopefully this will change because we love Hard Rock.",0,0
Kilo Kitchen,"Bar, International",Sergio_DH,5,"Yesterday I and my family ate dinner at kilo's restaurant. It was a great experience, the food was excellent with very original and creative combinations of flavors. The service was very kind and friendly. They get to know you and recommend things according to your ",1,1
Akira Back,"Japanese, International",joanng2605,5,"The perfect Japanese experience! Food was amazing and every course was well thought out with flavours which complement each other perfectly! Highly recommend the tuna pizza and black cod! Excellent service by the waitress, sherry, who gave us excellent food recommendations and service!",1,1
Pizza Fabbrica,"Italian, Pizza",c4thy_l,1,"Husband was craving for pizza so googled online and found this restaurant with a Google rating of 4.4. Decided to give it a try. On a Friday night, this place was quite empty with only a few tables occupied. But it didn't bother us much .",-1,-1
